,Date,btc_close,link_close,zrx_close,yfi_close,uni_close,omg_close,eth_close,xrp_close,cake_close,comp_close,fil_close,vet_close,trx_close,doge_close,ada_close,zil_close,celo_close,crv_close,dot_close,algo_close,grt_close,rune_close,rvn_close,ftm_close
68,2020-03-10,7894.56,4.0839,0.2382,,,0.7904,200.7,0.21185,,,,0.004691,0.01508,0.0022053,0.04146,0.00594,,,,0.282,,,0.0235,0.0062
69,2020-03-11,7934.52,3.8169,0.2266,,,0.7522,194.61,0.20813,,,,0.004462,0.01489,0.0021716,0.03969,0.00578,,,,0.2706,,,0.02319,0.00586
70,2020-03-12,4800.0,1.9931,0.1466,,,0.4069,107.82,0.13549,,,,0.002283,0.00841,0.0015996,0.02329,0.00314,,,,0.1343,,,0.0115,0.00256
71,2020-03-13,5578.6,2.4333,0.1677,,,0.5034,134.06,0.15872,,,,0.002823,0.01029,0.001746,0.02843,0.00355,,,,0.1527,,,0.01438,0.00282
72,2020-03-14,5172.06,2.1379,0.1569,,,0.4684,122.54,0.14588,,,,0.002545,0.00973,0.0016632,0.02582,0.00346,,,,0.1473,,,0.01356,0.00261
73,2020-03-15,5361.3,2.0884,0.1584,,,0.4939,123.78,0.15308,,,,0.002524,0.01026,0.0016932,0.02693,0.00368,,,,0.1471,,,0.01388,0.00275
74,2020-03-16,5028.97,1.7832,0.1381,,,0.4349,111.02,0.14102,,,,0.00226,0.00961,0.0015817,0.02423,0.00334,,,,0.1266,,,0.01207,0.0023
75,2020-03-17,5312.64,1.8641,0.1426,,,0.4697,115.67,0.14694,,,,0.002467,0.01002,0.0016219,0.02575,0.00353,,,,0.139,,,0.01307,0.00235
76,2020-03-18,5393.04,1.9483,0.1456,,,0.4644,118.11,0.1476,,,,0.002544,0.01022,0.0016002,0.02607,0.00352,,,,0.1409,,,0.01314,0.00231
77,2020-03-19,6162.37,2.2398,0.1626,,,0.5429,136.3,0.1646,,,,0.002907,0.01163,0.00177,0.0303,0.00406,,,,0.1574,,,0.01531,0.00297
78,2020-03-20,6208.36,2.26,0.1521,,,0.53,133.48,0.15695,,,,0.002845,0.01127,0.0017802,0.02946,0.00392,,,,0.1578,,,0.01475,0.00282
79,2020-03-21,6186.98,2.2787,0.1552,,,0.5231,132.66,0.15797,,,,0.002897,0.01123,0.0017849,0.02948,0.00392,,,,0.153,,,0.01471,0.00272
